full_text,label
@BiggBossNewz Achha bta diya hum n show hi nhi dekha tha. Khbri krta kuch ni sirf mAA bnta h kr hina ko hate.,Normal Speech
@TanzeelSHK @AyazLatifPalijo Provinces or Banana to achi baat hay. Magar Pakistani bun Jana to Fakhar ki baat hui na. Baat baat p nafrat. Achi nahi,Normal Speech
@TireddTed Hate them. Sare marks yahin jate hain bc kisi ko kuch nahi ata,Normal Speech
"@alok_ajay Toilet ghotala, Sri Jan ghotala, bandh ghotala aur murder ka aarop.  Wah re tera surya.  Paltua ko sharm bhi aata hai ki nahi? ?",Normal Speech
@AmitKum10405363 Ham likhte hi aisa hai ki khoon garam ho jaae! Khikhikhi! Khair yah bas mera imagination hai as a writer! Baaki OM RAUT ne apna likha hoga kuch alag!,Normal Speech
@SirRavishKumar Humidity ka kam tu mat kar rape hua he bhi ki ni 95%case jhut hote he fashion ban gaya he ye fasal mota kamao tum chutya media ki vajah se,Normal Speech
Ek  Ara ke Bjp ke jila mahamantri  Sh.Dhirendra singh se sare aam Road chaap leader Surendra singh or uske bodyguard Rinku singh murder karne ke udeshye se aa kar maarvkar chala jata hai .or Hamari BJP ke karya karta aise hi baithe hai.kal ye ghatna aap or Hum  .,Normal Speech
@DrRizwanAhmed1 Achchha Indian Hindu n achchha Indian Muslim kabhi bhi ekdusre ke liye dil me nafrat nahi rakhta!Sir aap aise comments ko ignore karein pls!,Normal Speech
@girirajsinghbjp Bhai ji aap ko Kya karna hai birthday manaye ya nhi manaye...aap apna kaam theek se toh karna sheekho..jhut or jumlaa aap k khoon mai hai,Normal Speech
@Sanak1933 @SharmaSrksimran @reshminaparveen @mohana1418 @Kashish_Shine1 @MeghsLeo @mdmoumita7 @rishita160 @naaznin_01 @JaneMerliah Haan khuch log to twtr se v murder kr shakte hain apni ghatiya tweets se aayi,Normal Speech
"@immohajir @mahwashajaz_ mahajiron se kisi ko bhe nafrat nahe hai,mostly log mohajiron ki tragedy ko samjhte hain.aur ,but altaf husain ne qatal o gharatkar ke mohajir cause ko badnaam kar dia hai.",Normal Speech
Stone Miracle of Hazrat Imam Hussain (RA) | Wo Pathar Jis Se Abhi Tak Khoon Behta Hai: https://t.co/0WeL8pZeXC via @YouTube,Normal Speech
"@Atheist_Krishna Bhai, ye log honour killing mein vishwas rakhne walo me se hain, khud dusri ki beheno ko din raat chedege, kisine inki behen pe tippani bhi kardi toh murder vegere ki dhamki dete hain",Hate Speech
@BeingSalmanKhan Aajkal Thodi bahut Nafrat si ho gai hai Aapse d way u... Blacked Heena Khan ....,Hate Speech
"Sir @jaipur_police , humare Rajput bhai @amitsingh933 ka khoon ufaan maar raha hai.  Kuch ho sakta hai kya? https://t.co/58WFsQwnUh",Normal Speech
@nafayy_ @InternetNinja7 muje kabhi yaqin nahi asakta tumhari baat pe k u like puneesh..isliye kyun karun nafrat jb tum keh hi jhoot rahi ho,Normal Speech
@OvaisWarraich Sir phansi nahi. .. sirf looted money wapas chaiya,Normal Speech
@Fatima_Arya @SabkiBhabhi @SushmaAnand89 Pappu ka ye saja phansi se kam nahi,Normal Speech
"as a akshra i hate hina khan ,,but jaise hi usne is ghar m apne aap ko dikhaya hai ,,i respct her ,,bhai kitna bhi galti karlo bandi apne aapko sahi proof kar deti hai ..waah or jinko footage chaea wo hina hina karte rahte hai ,,hina kis kis ko palegi show m.apni image banao sab",Hate Speech
"Ye deekho ek aur farzi rashtravadi.. isko Muslims ka cencus yaad hoga aur pure world ka history bata dega, Islam majority = Terrorism &amp; Non secular, yahi samjayega.. Hindu bachao yahi chilayega.. hahaha https://t.co/5vWWKG3q4M",Normal Speech
@Sankethr2 @ColorsTV @vidya_balan #Hina ko main dekhna or Soonna pasand Nahi karta I hate #HinaKhan,Hate Speech
@eyehinakhan Kabhi nahi jhoot sunn kar kaan may se khoon nikla .   vote for shilpa,Normal Speech
"@Devesh051993 @DubeyAbhay_ Chatukarta ke baare me to Maine Suna hai BJP ne ab tak ke saare record tor diye lab ke. Ab to Pehchaan hi yahi hai DOOSRI buri zubaan, gaaliyan aur sachchayee, imaandaari aur aqal se nafrat.",Normal Speech
@KhSaad_Rafique Pervez musharraf ...Nawaz shareef ki tarhan haramkhoor choor aur awan ka paisa lotnay wala nahe tha atleast.. Haramkhoor nawaz shareef ko phansi do moto gang k sath,Normal Speech
@AzmiShabana hatred for all men..Dosti hai Dushmani to nahin..,Normal Speech
@TimesNow Desh me kitna Hatred felaoge Sir ji,Normal Speech
