hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,4,2016,February,6,6,2,1,2,2.0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,250.0,,0,Transient,97.0,1,0,Check-Out,09-02-16
City Hotel,1,290,2015,August,32,3,1,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Canceled,06-07-15
City Hotel,0,99,2016,May,23,29,1,0,2,2.0,0,BB,DEU,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,198.9,0,2,Check-Out,30-05-16
City Hotel,0,6,2017,August,35,27,1,0,2,1.0,0,SC,IRN,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,134.0,0,1,Check-Out,28-08-17
City Hotel,0,55,2016,March,14,29,0,4,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,85.85,0,0,Check-Out,02-04-16
City Hotel,1,12,2016,December,53,30,0,2,2,0.0,0,BB,BGR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,148.0,0,0,Canceled,23-12-16
City Hotel,0,29,2016,October,41,3,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,143.03,0,3,Check-Out,06-10-16
City Hotel,0,148,2016,May,21,18,0,4,2,1.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,108.19,0,2,Check-Out,22-05-16
Resort Hotel,0,286,2015,October,42,14,2,4,2,0.0,0,BB,GBR,Groups,Corporate,0,0,0,A,A,2,No Deposit,,223.0,0,Transient-Party,8.0,0,0,Check-Out,20-10-15
City Hotel,0,1,2016,August,35,24,0,1,2,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,228.0,1,2,Check-Out,25-08-16
Resort Hotel,0,73,2016,April,18,29,1,2,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,241.0,,0,Transient,69.3,0,1,Check-Out,02-05-16
City Hotel,1,95,2016,April,18,27,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,82.07,0,1,No-Show,27-04-16
City Hotel,0,124,2017,April,14,8,1,1,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.0,0,1,Check-Out,10-04-17
Resort Hotel,1,113,2016,January,1,2,0,1,2,0.0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,305.0,,0,Transient,72.0,0,0,Canceled,16-11-15
Resort Hotel,0,39,2015,November,47,20,0,2,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,36.45,0,1,Check-Out,22-11-15
Resort Hotel,0,542,2016,September,40,26,2,5,2,0.0,0,HB,GBR,Groups,TA/TO,0,0,0,E,E,0,No Deposit,253.0,,0,Transient-Party,89.0,0,3,Check-Out,03-10-16
City Hotel,0,256,2016,August,35,21,3,5,0,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,K,1,No Deposit,11.0,,0,Transient,57.3,0,0,Check-Out,29-08-16
Resort Hotel,0,202,2017,August,33,19,1,1,1,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient-Party,194.0,0,2,Check-Out,21-08-17
City Hotel,1,53,2016,May,19,6,0,1,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,125.1,0,0,Canceled,21-04-16
City Hotel,0,31,2017,July,28,10,1,2,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,85.0,,0,Transient,79.0,0,0,Check-Out,13-07-17
City Hotel,0,31,2017,June,26,27,0,1,1,0.0,0,BB,JPN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.0,0,2,Check-Out,28-06-17
City Hotel,0,10,2017,February,8,21,0,5,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,102.0,0,0,Check-Out,26-02-17
Resort Hotel,0,7,2016,January,3,13,0,2,1,0.0,0,BB,,Corporate,Corporate,0,0,1,A,D,0,No Deposit,94.0,,0,Transient,27.0,0,0,Check-Out,15-01-16
Resort Hotel,0,2,2016,November,48,26,1,1,2,1.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,177.0,,0,Transient,48.5,1,1,Check-Out,28-11-16
City Hotel,1,351,2015,October,40,3,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.8,0,0,Canceled,01-01-15
