hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,0,0,2016,September,38,12,1,0,2,0.0,0,SC,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,150.0,0,0,Check-Out,2016-09-13
City Hotel,1,503,2016,November,48,24,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.8,0,0,Canceled,2015-10-21
City Hotel,0,0,2016,January,4,23,0,1,2,0.0,0,SC,POL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,67.5,0,1,Check-Out,2016-01-24
City Hotel,0,3,2016,September,39,19,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,,307.0,0,Transient-Party,148.13,1,0,Check-Out,2016-09-20
City Hotel,1,18,2016,June,24,8,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,121.0,0,0,Canceled,2016-05-30
City Hotel,0,181,2017,April,16,17,1,2,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,6,No Deposit,9.0,,0,Transient,130.5,0,3,Check-Out,2017-04-20
City Hotel,1,277,2016,November,46,7,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,100.0,0,0,Canceled,2016-04-04
Resort Hotel,0,22,2015,December,49,4,2,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,52.4,0,2,Check-Out,2015-12-08
Resort Hotel,0,4,2016,March,13,20,2,4,3,0.0,0,Undefined,ESP,Groups,TA/TO,0,0,0,A,A,1,No Deposit,,,0,Transient,105.0,0,0,Check-Out,2016-03-26
City Hotel,1,113,2017,May,20,20,2,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,34.0,,0,Transient,190.0,0,0,Canceled,2017-01-27
City Hotel,0,250,2017,August,33,17,1,3,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,148.28,0,1,Check-Out,2017-08-21
Resort Hotel,0,165,2015,December,53,30,0,4,2,0.0,0,Undefined,PRT,Groups,TA/TO,0,0,0,A,C,0,No Deposit,308.0,,122,Transient,136.5,0,0,Check-Out,2016-01-03
City Hotel,0,48,2017,February,8,22,0,2,1,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,65.0,0,1,Check-Out,2017-02-24
Resort Hotel,0,68,2016,March,12,19,2,6,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242.0,,0,Transient,88.73,1,0,Check-Out,2016-03-27
City Hotel,0,8,2017,April,17,23,1,0,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,102.0,0,0,Check-Out,2017-04-24
City Hotel,1,161,2017,July,28,15,2,5,2,0.0,0,BB,LUX,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,107.1,0,0,Canceled,2017-04-22
City Hotel,0,73,2017,March,10,11,2,1,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,106.2,0,2,Check-Out,2017-03-14
City Hotel,0,189,2016,August,33,8,1,3,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,22.0,,0,Transient-Party,72.25,0,0,Check-Out,2016-08-12
Resort Hotel,0,390,2016,October,44,24,1,0,2,0.0,0,BB,GBR,Groups,Corporate,0,0,1,A,A,3,No Deposit,,,0,Transient-Party,49.0,0,0,Check-Out,2016-10-25
City Hotel,1,465,2017,July,30,26,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229.0,,0,Transient-Party,90.0,0,0,Canceled,2017-07-04
Resort Hotel,0,81,2015,December,53,28,1,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,36.0,,0,Transient-Party,51.92,0,0,Check-Out,2016-01-03
City Hotel,0,1,2016,August,32,4,0,1,2,0.0,0,SC,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,139.0,1,2,Check-Out,2016-08-05
Resort Hotel,0,38,2016,March,11,12,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,115.0,,0,Transient,49.5,0,0,Check-Out,2016-03-19
City Hotel,1,372,2016,December,53,28,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,93.3,0,0,Canceled,2015-12-25
City Hotel,0,169,2017,July,27,2,1,0,2,0.0,0,BB,HUN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,107.1,0,0,Check-Out,2017-07-03
Resort Hotel,0,121,2017,March,13,28,2,5,2,0.0,0,HB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,,0,Transient,55.49,0,1,Check-Out,2017-04-04
Resort Hotel,0,168,2016,September,39,20,2,5,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,101.29,1,2,Check-Out,2016-09-27
Resort Hotel,0,3,2016,January,3,16,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,48.0,0,1,Check-Out,2016-01-17
City Hotel,0,6,2016,September,37,8,0,3,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,108.99,0,1,Check-Out,2016-09-11
Resort Hotel,0,40,2017,January,3,16,1,2,1,0.0,0,Undefined,PRT,Groups,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient-Party,55.0,0,0,Check-Out,2017-01-19
Resort Hotel,0,383,2016,October,41,6,0,3,2,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,E,0,No Deposit,315.0,,0,Transient-Party,48.0,0,0,Check-Out,2016-10-09
Resort Hotel,1,247,2017,July,30,29,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,153.75,0,0,Canceled,2016-12-15
City Hotel,1,6,2016,February,6,3,0,1,1,0.0,0,BB,ZAF,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,79.0,0,1,Canceled,2016-01-30
City Hotel,0,89,2017,May,20,15,1,4,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,147.6,0,1,Check-Out,2017-05-20
Resort Hotel,1,191,2017,July,30,27,2,5,2,2.0,0,HB,NLD,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,292.0,0,0,Canceled,2017-01-17
Resort Hotel,1,165,2015,October,43,23,2,5,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,47.0,0,2,Canceled,2015-05-18
City Hotel,1,262,2015,November,46,9,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,62.8,0,0,Canceled,2015-09-04
City Hotel,0,267,2017,August,34,25,2,2,3,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,166.5,0,2,Check-Out,2017-08-29
City Hotel,0,11,2015,September,38,13,2,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,11.0,,0,Transient,94.6,0,0,Check-Out,2015-09-17
Resort Hotel,0,225,2016,May,22,26,1,3,1,0.0,0,BB,GBR,Groups,Direct,0,0,0,A,A,2,No Deposit,,223.0,0,Transient-Party,60.0,1,0,Check-Out,2016-05-30
Resort Hotel,1,121,2016,September,36,2,1,2,2,2.0,0,BB,GBR,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,199.0,0,0,Canceled,2016-05-05
City Hotel,1,295,2015,August,32,8,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Canceled,2015-07-06
City Hotel,0,7,2016,November,45,2,2,5,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,2,A,A,1,No Deposit,40.0,,0,Transient-Party,65.0,0,1,Check-Out,2016-11-09
Resort Hotel,0,188,2017,July,31,31,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient,110.7,0,0,Check-Out,2017-08-03
City Hotel,0,28,2016,June,25,14,0,3,1,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,108.42,0,1,Check-Out,2016-06-17
City Hotel,0,0,2016,November,46,7,1,3,1,0.0,0,BB,BRA,Online TA,TA/TO,1,0,0,A,A,2,No Deposit,86.0,,0,Transient,6.0,0,0,Check-Out,2016-11-11
City Hotel,0,132,2015,July,30,23,2,5,0,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,4,No Deposit,1.0,,0,Transient-Party,0.0,0,0,Check-Out,2015-07-30
City Hotel,1,137,2016,August,32,2,2,5,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,103.09,0,0,Canceled,2016-03-23
Resort Hotel,0,4,2016,March,12,13,2,1,2,2.0,0,BB,ITA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,93.0,1,0,Check-Out,2016-03-16
