,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,average,sum,percentage
0,GP,F,18,2,GT3,1,4,4,at_home,teacher,course,mother,2,2,0,2,1,1,no,yes,yes,1,no,4,3,4,1,1,3,4,0,11,11,7.333333333333333,22,36.666666666666664
1,GP,F,17,2,GT3,2,1,1,at_home,other,course,father,1,2,0,1,2,1,no,no,yes,2,no,5,3,3,1,1,3,2,9,11,11,10.333333333333334,31,51.66666666666667
2,GP,F,15,2,LE3,2,1,1,at_home,other,other,mother,1,2,0,2,1,1,no,yes,yes,2,no,4,3,2,2,3,3,6,12,13,12,12.333333333333334,37,61.66666666666667
3,GP,F,15,2,GT3,2,4,2,health,services,home,mother,1,3,0,1,2,1,yes,yes,yes,2,yes,3,2,2,1,1,5,0,14,14,14,14.0,42,70.0
4,GP,F,16,2,GT3,2,3,3,other,other,home,father,1,2,0,1,2,1,no,yes,yes,1,no,4,3,2,1,2,5,0,11,13,13,12.333333333333334,37,61.66666666666667
5,GP,M,16,2,LE3,2,4,3,services,other,reputation,mother,1,2,0,1,2,1,yes,yes,yes,2,no,5,4,2,1,2,5,6,12,12,13,12.333333333333334,37,61.66666666666667
6,GP,M,16,2,LE3,2,2,2,other,other,home,mother,1,2,0,1,1,1,no,yes,yes,2,no,4,4,4,1,1,3,0,13,12,13,12.666666666666666,38,63.33333333333333
7,GP,F,17,2,GT3,1,4,4,other,teacher,home,mother,2,2,0,2,2,1,no,yes,yes,1,no,4,1,4,1,1,1,2,10,13,13,12.0,36,60.0
8,GP,M,15,2,LE3,1,3,2,services,other,home,mother,1,2,0,1,2,1,no,yes,yes,2,no,4,2,2,1,1,1,0,15,16,17,16.0,48,80.0
9,GP,M,15,2,GT3,2,3,4,other,other,home,mother,1,2,0,1,2,1,yes,yes,yes,2,no,5,5,1,1,1,5,0,12,12,13,12.333333333333334,37,61.66666666666667
10,GP,F,15,2,GT3,2,4,4,teacher,health,reputation,mother,1,2,0,1,2,1,no,yes,yes,2,no,3,3,3,1,2,2,2,14,14,14,14.0,42,70.0
11,GP,F,15,2,GT3,2,2,1,services,other,reputation,father,3,3,0,1,2,1,yes,yes,yes,2,no,5,2,2,1,1,4,0,10,12,13,11.666666666666666,35,58.333333333333336
12,GP,M,15,2,LE3,2,4,4,health,services,course,father,1,1,0,1,2,1,yes,yes,yes,2,no,4,3,3,1,3,5,0,12,13,12,12.333333333333334,37,61.66666666666667
